model,object_id,target_band,n_train_target_band,n_train_other_bands,n_heldout_target_band,heldout_indices,rmse,nrmse,crps,ncrps,object_flux_scale,nlpd,coverage_1sigma,coverage_2sigma,coverage_3sigma,z_score_mean,z_score_std,pit,notes,shuffle_repeat
single_band_gp,21846282,r,16,0,4,[ 5  9 11 14],20.975314767047692,2.7055172936183687,12.381820187158421,1.5970787096581531,7.752792716026306,5.71802539644734,0.25,0.5,0.75,-1.3535107088490779,2.061088832435301,[4.94400896e-01 1.20994976e-02 1.08746662e-05 8.64351092e-01],,
mogp_target_only,21846282,r,16,0,4,[ 5  9 11 14],20.97531409283473,2.705517206654485,12.381819392827143,1.5970786072007153,7.752792716026306,5.718024785599357,0.25,0.5,0.75,-1.3535107293182866,2.0610885264330223,[4.94400702e-01 1.20995061e-02 1.08746839e-05 8.64351042e-01],,
mogp_real_wavelength,21846282,r,16,24,4,[ 5  9 11 14],2.713156833373941,0.34995864493647516,2.591722926654538,0.3342953980050334,7.752792716026306,3.0686776457545024,1.0,1.0,1.0,0.17743366223085488,0.5123088852523483,[0.33227809 0.61150439 0.46477974 0.82856835],,
mogp_independent_band_control,21846282,r,16,24,4,[ 5  9 11 14],19.47742055377157,2.5123102431861124,11.796538313556223,1.5215856718535534,7.752792716026306,5.815698839542178,0.25,0.5,0.75,-1.4186212974975656,2.090655272907607,[5.00482247e-01 5.51010484e-03 1.18005514e-05 8.63053385e-01],Approximate independent-band control: wavelength length scale set near zero.,
mogp_shuffled_wavelength_control_seed0,21846282,r,16,24,4,[ 5  9 11 14],5.122358923375182,0.660711450828089,3.003972836524915,0.3874697733521504,7.752792716026306,3.097410755963331,1.0,1.0,1.0,0.04445792602373433,0.6068849389874718,[0.31987361 0.56325564 0.30697763 0.83917942],,0.0
mogp_shuffled_wavelength_control_seed1,21846282,r,16,24,4,[ 5  9 11 14],4.016619190314652,0.5180867511150705,2.7631239157598886,0.3564036879314539,7.752792716026306,3.0744884044583625,1.0,1.0,1.0,0.07885945081984205,0.5703979434964738,[0.32172558 0.56152023 0.36065097 0.8365091 ],,1.0
mogp_shuffled_wavelength_control_seed2,21846282,r,16,24,4,[ 5  9 11 14],5.6582440078809135,0.7298330053613308,3.1255877318186562,0.40315636523565873,7.752792716026306,3.10361248116728,1.0,1.0,1.0,0.034938706094516936,0.6290683639234532,[0.31888534 0.57471058 0.28204274 0.84109704],,2.0
mogp_shuffled_wavelength_control_seed3,21846282,r,16,24,4,[ 5  9 11 14],4.877419435101488,0.6291177403749044,2.951406306826894,0.3806894386233039,7.752792716026306,3.09195712036507,1.0,1.0,1.0,0.06967658279119268,0.6041451791360801,[0.3188422  0.59139096 0.31843073 0.83906251],,3.0
mogp_shuffled_wavelength_control_seed4,21846282,r,16,24,4,[ 5  9 11 14],4.286687414992404,0.5529217111830051,2.8235144847890425,0.3641932124603784,7.752792716026306,3.0811805695907166,1.0,1.0,1.0,0.07109496898049672,0.5759461847014907,[0.32339913 0.56177852 0.34744693 0.83629325],,4.0
same_total_train_budget_existing,21846282,r,2,14,4,[ 5  9 11 14],20.539488249729352,2.6493018712174297,11.03626069767987,1.4235206720884066,7.752792716026306,8.509687391548448,0.5,0.5,0.75,2.1904492028852696,2.713013900170465,[0.40793032 0.53382643 1.         0.99055494],"Fixed-total-budget comparison, not an isolated cross-band covariance test.",
single_band_gp,114421739,r,13,0,4,[ 7  8 12 16],4.955079323012828,0.20418011699116456,2.7526103578336576,0.1134246836944355,24.26817750930786,2.916004177497615,0.75,1.0,1.0,-0.21911554076667847,0.7997903723220293,[0.74021117 0.13393697 0.6946426  0.17838423],,
mogp_target_only,114421739,r,13,0,4,[ 7  8 12 16],4.955079503641506,0.20418012443419065,2.7526104752522946,0.11342468853281436,24.26817750930786,2.916004206434909,0.75,1.0,1.0,-0.21911555492579754,0.799790437002848,[0.74021116 0.13393693 0.69464265 0.17838425],,
mogp_real_wavelength,114421739,r,13,19,4,[ 7  8 12 16],7.622137150269224,0.3140795038006383,4.3379621147739,0.17875104601942646,24.26817750930786,3.4894432803091275,0.5,0.75,1.0,-0.9572216816791965,1.0821714253180763,[0.31390286 0.00600761 0.66931893 0.10197016],,
