class,spearman_rho,spearman_pvalue,n_band_pairs
SNIa,0.9030303030303028,0.0003436121977632824,10
AGN,0.35757575757575755,0.31037609170568026,10
SNII,0.9999999999999999,6.64689742203186e-64,10
TDE,0.7575757575757575,0.011143446799694208,10
SNIbc,0.9636363636363635,7.3209748095299185e-06,10
SLSN-I,0.8787878787878788,0.0008138621117322101,10
SNIax,0.7696969696969697,0.009221952722215994,10
M-dwarf,0.12727272727272726,0.7260570147627894,10
KN,0.19999999999999998,0.5795840000000002,10
SNIa-91bg,0.8787878787878788,0.0008138621117322101,10
EB,0.06666666666666665,0.8548130882487427,10
RRL,-0.006060606060606061,0.9867429111949892,10
