class,band_1,band_2,d_total,n_shared_bins,n_objects_band_1,n_objects_band_2
SNIa,g,i,0.115187943667225,49,182,182
SNIa,g,r,0.09349049921902831,49,182,182
SNIa,g,u,0.05889177334166859,49,182,182
SNIa,g,z,0.12080597084903498,49,182,182
SNIa,i,r,0.03520324360796402,49,182,182
SNIa,i,u,0.16672645830173494,49,182,182
SNIa,i,z,0.02746314771924329,49,182,182
SNIa,r,u,0.1487520178235008,49,182,182
SNIa,r,z,0.046964209666003065,49,182,182
SNIa,u,z,0.16890181300447582,49,182,182
AGN,g,i,0.2667001696795034,40,27,27
AGN,g,r,0.207138889099876,38,27,27
AGN,g,u,0.3577864793035469,38,27,27
AGN,g,z,0.30125791086920706,40,27,27
AGN,i,r,0.21923720099533942,45,27,27
AGN,i,u,0.2919368959888578,45,27,27
AGN,i,z,0.28491812081727186,47,27,27
AGN,r,u,0.3062047738326297,46,27,27
AGN,r,z,0.28318830887435353,47,27,27
AGN,u,z,0.37893499021286675,47,27,27
SNII,g,i,0.15347374912279102,49,95,95
SNII,g,r,0.08340832512441244,49,95,95
SNII,g,u,0.06297835997975487,49,95,95
SNII,g,z,0.16689689622041823,49,95,95
SNII,i,r,0.07491985033203263,49,95,95
SNII,i,u,0.19458948620890681,49,95,95
SNII,i,z,0.03418247726677068,49,95,95
SNII,r,u,0.12773304847889452,49,95,95
SNII,r,z,0.08842837985884933,49,95,95
SNII,u,z,0.20694111704583065,49,95,95
TDE,g,i,0.10122077488128756,49,42,42
TDE,g,r,0.059426493297556726,49,42,42
TDE,g,u,0.1404372671741083,48,42,42
TDE,g,z,0.1284258780983829,49,42,42
TDE,i,r,0.056933301893531754,49,42,42
TDE,i,u,0.18358280230584806,48,42,42
TDE,i,z,0.051754979681732385,49,42,42
TDE,r,u,0.14614027023743448,48,42,42
TDE,r,z,0.08134300741600019,49,42,42
TDE,u,z,0.1996679815121543,48,42,42
SNIbc,g,i,0.1538751858440772,49,35,35
SNIbc,g,r,0.07970016868255272,49,35,35
SNIbc,g,u,0.08719028440850699,49,35,35
SNIbc,g,z,0.18973888219611315,49,35,35
SNIbc,i,r,0.09063919833397957,49,35,35
SNIbc,i,u,0.19504798097753057,49,35,35
SNIbc,i,z,0.07568182849763534,49,35,35
SNIbc,r,u,0.13691742769875298,49,35,35
SNIbc,r,z,0.12860814777315796,49,35,35
SNIbc,u,z,0.22646405530457245,49,35,35
SLSN-I,g,i,0.21126954315792795,39,15,15
SLSN-I,g,r,0.13632757409214716,36,15,15
SLSN-I,g,u,0.10209341852052137,38,15,15
SLSN-I,g,z,0.2691600445364702,38,15,15
SLSN-I,i,r,0.11874662102802999,44,15,15
SLSN-I,i,u,0.27005279323755976,46,15,15
SLSN-I,i,z,0.16208322722117421,46,15,15
SLSN-I,r,u,0.1736237821815827,43,15,15
SLSN-I,r,z,0.16049905733991654,42,15,15
SLSN-I,u,z,0.30454360423605503,44,15,15
SNIax,g,i,0.14384192134901908,44,13,13
SNIax,g,r,0.10770898924627868,45,13,13
SNIax,g,u,0.14545808489510167,44,13,13
SNIax,g,z,0.16282713330265178,44,13,13
SNIax,i,r,0.0666921417737207,46,13,13
SNIax,i,u,0.22158811428474984,45,13,13
SNIax,i,z,0.13453411027206355,45,13,13
SNIax,r,u,0.1965011349554481,46,13,13
SNIax,r,z,0.1414809791078048,46,13,13
SNIax,u,z,0.2737710508395994,45,13,13
M-dwarf,g,i,0.1489885916586393,40,39,39
M-dwarf,g,r,0.15285062715768444,42,39,39
M-dwarf,g,u,0.2157552842670358,42,39,39
M-dwarf,g,z,0.2319806740900064,44,39,39
M-dwarf,i,r,0.05340721032538478,42,39,39
M-dwarf,i,u,0.09381486045887019,40,39,39
M-dwarf,i,z,0.1870360569673179,42,39,39
M-dwarf,r,u,0.09177376569163678,43,39,39
M-dwarf,r,z,0.178966267712625,46,39,39
M-dwarf,u,z,0.22053715969890303,44,39,39
KN,g,i,0.14268763575536075,35,10,10
KN,g,r,0.18372544953411094,36,10,10
KN,g,u,0.29665365022716045,33,10,10
KN,g,z,0.21208180474423008,33,10,10
