class,auxiliary_band,target_band,d_total_pair,effective_aux_support,median_delta_nlpd,mean_delta_nlpd,q25_delta_nlpd,q75_delta_nlpd,median_delta_sharp,median_delta_std_error,median_delta_squared_error,median_delta_rmse,fraction_improved_nlpd,fraction_improved_rmse,n_objects,total_test_points,support_window
SNIa,g,r,0.0935297100048642,2.4,0.018034317675762187,-0.04486342542172111,-0.005266412336012961,0.08462242073127049,0.02021969727049521,-0.0017823180834620135,0.05301035809829746,0.013131466153109228,0.6923076923076923,0.5989010989010989,182,1357,0.25
AGN,g,r,0.207138889099876,2.4,0.016978106895657524,0.04312103953179997,-0.06965431886133011,0.14512272532616755,0.03432124254025495,-0.0006795598940633903,3.675896502463076,0.20270530947651544,0.5925925925925926,0.6296296296296297,27,178,0.25
SNII,g,r,0.0834544120618506,2.2,0.008434627207593016,-0.08858056224254557,-0.005157320052970694,0.06398553750917861,0.013931037082434103,-0.00270729817636069,0.02865994680595707,0.004759063953256426,0.6526315789473685,0.5578947368421052,95,635,0.25
TDE,g,r,0.0594264932975567,1.9,0.11077010170631055,0.05077444768124912,0.0237512364818278,0.25098088309669403,0.12161728976398382,-0.007836257656702993,2.757445266338352,0.3138928647341972,0.8571428571428571,0.7142857142857143,42,210,0.25
SNIbc,g,r,0.0797001686825527,2.1666666666666665,0.025737720165729082,0.17616730703611203,4.922448291856295e-07,0.057924091294181856,0.03137684360988341,-0.001977541854566944,0.09646511960430472,0.02428530460343814,0.7714285714285715,0.6571428571428571,35,238,0.25
SLSN-I,g,r,0.1363275740921471,2.8,0.026759916881791045,0.09058174984291688,0.010165103160688718,0.08320044077614615,0.04162567851530912,-0.012783566063687406,0.3562369333765612,0.046859499186387765,0.8666666666666667,0.6,15,106,0.25
SNIax,g,r,0.1077089892462786,8.727272727272727,0.014738851053827152,-0.0617338249824169,0.002339546148302496,0.03225156569729626,0.011471447515499934,0.002616824432333831,0.0476478808710703,0.018669392199550883,0.8461538461538461,0.6923076923076923,13,108,0.25
M-dwarf,g,r,0.1526954176590611,9.181818181818182,3.1629282014833394e-06,-0.06333911145167481,-0.03404026068789122,0.012593932782534978,1.537803589081428e-07,1.355238916146348e-06,-0.07443111361650588,-0.024141066028339875,0.5128205128205128,0.38461538461538464,39,330,0.25
KN,g,r,0.1837254495341109,1.5,-0.0001244819257515036,-0.015328716812185339,-0.021786199137974006,0.00042165740118071027,6.629280603061883e-05,-0.002547080861238124,-0.570866538129619,-0.07376736810402718,0.3,0.3,10,50,0.25
SNIa-91bg,g,r,0.1156187253735272,2.0,0.044397497782507234,0.12103947461195787,0.021428255462476196,0.09126900682058237,0.026201660291723234,0.0012453932461246992,0.047625277465169466,0.02211540039673765,0.8461538461538461,0.6153846153846154,13,72,0.25
EB,g,r,0.1126444460871427,9.681818181818182,0.009686224632452427,0.11134330392589971,3.205342003672248e-07,0.3328435794610992,-5.103983611980823e-07,0.012977102597589349,0.05113310514745276,0.0034678927329996334,0.75,0.5833333333333334,24,205,0.25
RRL,g,r,0.2211019053842177,10.545454545454545,-2.526840638950034e-07,0.19379249006468807,-0.06057241515558501,0.16647034784037268,0.11069198333196574,-5.443991987744926e-07,-14.730464012701123,-0.0123566656454841,0.4,0.4,5,49,0.25
