class,auxiliary_band,target_band,d_total_pair,effective_aux_support,median_delta_nlpd,mean_delta_nlpd,q25_delta_nlpd,q75_delta_nlpd,median_delta_sharp,median_delta_std_error,median_delta_squared_error,median_delta_rmse,fraction_improved_nlpd,fraction_improved_rmse,n_objects,total_test_points,support_window
SNIa,g,u,0.05897654927001,2.3333333333333335,-5.053797062023099e-06,-0.4053173070234516,-0.011399306550575113,0.004377051394161017,0.0023713145663847726,-1.4615097434682206e-05,-1.937701930796501e-05,-5.241269286582195e-06,0.47802197802197804,0.489010989010989,182,1424,0.25
AGN,g,u,0.3577864793035469,2.0,-0.0213838598046745,-0.06528076785176845,-0.15004028227839616,0.12869519260584855,0.0722682343040386,-0.03981940240390143,-0.27836555073313296,-0.07328383447522047,0.4444444444444444,0.4444444444444444,27,168,0.25
SNII,g,u,0.0621338089171454,2.0,0.0030946077075627207,0.006354854083642092,-2.951168686293748e-05,0.03738047660888314,0.00503493125970559,2.560602465305958e-07,0.0012624375207691922,0.00018851357538096636,0.6526315789473685,0.5789473684210527,95,603,0.25
TDE,g,u,0.1404372671741083,1.6666666666666667,0.10592283304220595,0.16520571596062214,0.032347075224152144,0.24030325148846432,0.1765462548843119,-0.014860316701034507,0.17911941319755975,0.011684497648828618,0.8095238095238095,0.5238095238095238,42,130,0.25
SNIbc,g,u,0.0871902844085069,1.6666666666666667,-0.00015627739205343144,-0.3048455354518824,-0.05471124745289095,0.004905482918504996,0.007762962662476262,-0.004599724160502537,-0.2114355249082931,-0.012173422338715767,0.4857142857142857,0.42857142857142855,35,225,0.25
SLSN-I,g,u,0.1020934185205213,2.6666666666666665,0.014361278096684416,0.07111622266457827,0.002209058554931409,0.0362799390275977,0.007311748653421112,-0.003393627996902996,5.636625946151953,0.24473634165551594,0.7333333333333333,0.8,15,106,0.25
SNIax,g,u,0.1454580848951016,9.866666666666667,0.01148708983355385,-0.25934169659483264,-3.4978849799157295e-05,0.04157814118881239,0.0035955505212051367,0.00020993375393218416,0.12903622249918384,0.017473394987521873,0.6923076923076923,0.6153846153846154,13,123,0.25
M-dwarf,g,u,0.2166250007379913,10.2,1.0744685155620696e-05,0.0037769083435243364,-0.007837447884305989,0.01009148802389285,0.0009672736844170745,5.313812825341385e-07,0.0018937523039554093,4.0389559408993136e-05,0.6153846153846154,0.6153846153846154,39,382,0.25
KN,g,u,0.2966536502271604,1.6666666666666667,3.9243280134382275e-06,0.05267621290839127,-0.0006407824236802362,5.129128415718812e-05,0.002538788267574498,3.7371607956232394e-06,0.007848237602355942,0.00039510411305876403,0.7,0.7,10,32,0.25
SNIa-91bg,g,u,0.1567127562449675,1.6666666666666667,4.459016090422689e-06,0.04036495970880469,-6.2016218776624514e-06,0.02580558839617601,5.051439578944521e-07,5.1016248735277535e-06,0.002900677344113589,0.00026233856452861914,0.5384615384615384,0.6923076923076923,13,52,0.25
EB,g,u,0.1162561005350164,10.333333333333332,-1.0536230380904973e-06,-0.07603135873285162,-0.002517025957621281,5.083869460416797e-05,-6.679986608679514e-08,-3.7968953215371756e-07,0.0016953661658015106,0.00011526423937713304,0.5,0.5833333333333334,24,244,0.25
RRL,g,u,0.369483632577433,10.666666666666666,0.026222997629737912,-0.005378378507838734,-1.013302360597379e-05,0.04745464881576371,0.01642007683628268,0.0003147118655222103,2480.0219079901535,2.7434908149154467,0.6,0.8,5,63,0.25
