class,auxiliary_band,target_band,d_total_pair,effective_aux_support,median_delta_nlpd,mean_delta_nlpd,q25_delta_nlpd,q75_delta_nlpd,median_delta_sharp,median_delta_std_error,median_delta_squared_error,median_delta_rmse,fraction_improved_nlpd,fraction_improved_rmse,n_objects,total_test_points,support_window
SNIa,i,r,0.0350320535536699,4.6,0.041829538165686464,0.30777392950725074,-0.014978311561789586,0.16938413411096367,0.06258059593165245,-0.011549217956139102,0.009094916802082912,0.0016079954844416822,0.6868131868131868,0.5164835164835165,182,1357,0.25
AGN,i,r,0.2192372009953394,3.8,0.06256608950330604,0.14472204717655465,-0.009882718605882346,0.1560941610346329,0.05710990140753578,0.03467631072414171,0.8262568268470272,0.11635684571343408,0.6666666666666666,0.5925925925925926,27,178,0.25
SNII,i,r,0.0750878223427422,4.2,0.027636819266242296,0.04697920544371869,-0.011289733451957672,0.1186425543345754,0.037286721406672406,-0.013091510675822949,1.2476486733285311e-05,2.457404792099993e-06,0.6210526315789474,0.5157894736842106,95,635,0.25
TDE,i,r,0.0569333018935317,3.8,0.0941694814833755,0.19969863942481195,0.00797958130309584,0.3070385010178702,0.11654568939980646,-0.004356610442620635,0.7142320842669512,0.18866030656335186,0.7857142857142857,0.6428571428571429,42,210,0.25
SNIbc,i,r,0.0906391983339795,4.333333333333333,0.06501005670171295,0.10368760331986211,0.008969126214100164,0.13032963757733956,0.08193493305887187,-0.011127913466060003,0.08416107397504574,0.03211898069621477,0.8571428571428571,0.5714285714285714,35,238,0.25
SLSN-I,i,r,0.1187466210280299,4.2,0.021088475981242416,0.153270290669091,-0.0007391494226846849,0.3418550498339249,0.05252262092643405,0.002636071872772129,0.33099359858103494,0.08160305040707794,0.7333333333333333,0.5333333333333333,15,106,0.25
SNIax,i,r,0.0666921417737207,8.727272727272727,0.03256953437998895,0.0423620339396587,4.6733901726270234e-08,0.09951747861470653,0.01567820280401004,4.965358025840749e-07,0.10634787822598116,0.04338992445107914,0.7692307692307693,0.6153846153846154,13,108,0.25
M-dwarf,i,r,0.0525276419220705,9.181818181818182,1.936916349265516e-06,-0.4121600302561528,-0.03295502657176187,0.008922143908460443,0.0007901538100325556,-1.2018191906975793e-05,-3.940102467898665e-05,-9.595674992368686e-06,0.5384615384615384,0.46153846153846156,39,330,0.25
KN,i,r,0.2495221657545751,3.5999999999999996,-8.4212678393758e-06,-0.015167885159264741,-0.00035728147153416543,2.3959034092524423e-06,1.6366101420836357e-06,-1.8561763855070742e-05,-0.026465792804166454,-0.003491945498649507,0.3,0.2,10,50,0.25
SNIa-91bg,i,r,0.1343049470519098,4.4,0.007182028796576212,0.08303234633769899,0.0006733894045991117,0.2180965619607338,0.030545596042162983,-0.008148680067814381,-1.267478788486736,-0.21218465009059528,0.7692307692307693,0.3076923076923077,13,72,0.25
EB,i,r,0.0380122389993249,9.818181818181818,0.01439456564790633,0.17860286069412312,-4.977980037161138e-06,0.5099992896316841,-1.0021123216778426e-06,9.038289078177134e-06,20.89840465968071,0.3581662329887747,0.625,0.7083333333333334,24,205,0.25
RRL,i,r,0.2000288614515213,10.545454545454545,2.4363421971607125e-05,0.13106636949313724,-0.046397064898949125,0.1392865851141816,0.008008889682559762,3.0251291363487393e-05,287809.3958733852,52.395524904650756,0.6,1.0,5,49,0.25
