class,auxiliary_band,target_band,d_total_pair,effective_aux_support,median_delta_nlpd,mean_delta_nlpd,q25_delta_nlpd,q75_delta_nlpd,median_delta_sharp,median_delta_std_error,median_delta_squared_error,median_delta_rmse,fraction_improved_nlpd,fraction_improved_rmse,n_objects,total_test_points,support_window
SNIa,i,z,0.0279083380245932,4.285714285714286,0.06658692652257717,0.0817019222788328,0.003568734520121383,0.17439264660021897,0.08279276430355237,-0.010922844332415298,1.094040508029375,0.14736015828140303,0.7582417582417582,0.6043956043956044,182,1504,0.25
AGN,i,z,0.2849181208172718,3.6666666666666665,0.028685449215801444,0.03204974528931292,-0.06929392014299073,0.16582505310409745,0.04091132244844064,-0.012225873232639286,27.13829621711346,1.3468714214192143,0.5555555555555556,0.7407407407407407,27,202,0.25
SNII,i,z,0.0339369104064519,3.6666666666666665,0.057839329745875225,0.107619432573688,0.003849768080931592,0.16643645095452514,0.08443946046587625,-0.011947985971875385,3.701108890708608,0.23450594322607898,0.7578947368421053,0.6,95,723,0.25
TDE,i,z,0.0517549796817323,3.4642857142857144,0.05602393523950182,0.08975853357614426,-0.0031330033055562544,0.18606132055596655,0.11160934565451307,-0.02421150166541614,3.3313015898820866,0.09941812514880954,0.7380952380952381,0.5952380952380952,42,273,0.25
SNIbc,i,z,0.0756818284976353,3.5714285714285716,0.04425885302310802,0.06276710498068147,-0.009828099610323281,0.14830116019763684,0.08186668744192287,-0.014193870321149384,6.216817100591201,0.3049409081891099,0.7428571428571429,0.6285714285714286,35,270,0.25
SLSN-I,i,z,0.1620832272211742,4.285714285714286,0.06299860467938254,0.06615606503236324,0.007683596701592745,0.13265916250737175,0.08052060097123763,0.009517062334896883,8.72882171522352,0.516300545324393,0.8,0.6666666666666666,15,118,0.25
SNIax,i,z,0.1345341102720635,8.818181818181818,0.10417109028323715,0.1086188601552878,0.03321779939398217,0.15855531541754256,0.09237267064901972,-0.029382294207777406,6.792712400971104,0.4969010324643377,0.8461538461538461,0.7692307692307693,13,115,0.25
M-dwarf,i,z,0.1870541151768371,9.454545454545455,7.852866771740352e-06,-0.4092004186753789,-0.017128674738081107,0.032880844144884736,0.0032602173668749993,-3.1812604637148007e-07,-0.01409098525360264,-0.0002631500329073333,0.5897435897435898,0.48717948717948717,39,351,0.25
KN,i,z,0.2281840317041751,3.3571428571428568,0.010549285491418167,-0.2790022351708209,-0.03416349985192704,0.040395237046684365,0.05332350336270395,-0.018527829077998936,-0.007010645596529897,-0.0003132263345406727,0.5,0.4,10,66,0.25
SNIa-91bg,i,z,0.1483405251033318,3.0,0.12677366717362407,0.13846949506352796,0.08327077559877434,0.15380987514605277,0.11993172538894174,-0.004613091910882733,16.50149390957005,0.5058892412054226,0.9230769230769231,0.7692307692307693,13,90,0.25
EB,i,z,0.0842416761397863,10.0,1.8256712215466063e-05,0.02642991040298977,-0.0056238926706104015,0.02079449525013899,0.00016377617226968997,1.2754074491291127e-06,0.01809962491635494,0.002730569257588966,0.75,0.625,24,219,0.25
RRL,i,z,0.2144181941409215,10.272727272727273,0.42453650255270553,0.6481092089492939,6.662647082933404e-05,0.47049799757655014,0.04184876460463952,0.19373238207052831,-103117.04679643456,-26.653099677792625,0.8,0.4,5,50,0.25
