class,auxiliary_band,target_band,d_total_pair,effective_aux_support,median_delta_nlpd,mean_delta_nlpd,q25_delta_nlpd,q75_delta_nlpd,median_delta_sharp,median_delta_std_error,median_delta_squared_error,median_delta_rmse,fraction_improved_nlpd,fraction_improved_rmse,n_objects,total_test_points,support_window
SNIa,r,g,0.0935297100048642,3.0,0.011820973394779994,-0.053067098187111014,-0.006092390979186049,0.09819084368822575,0.03402467441109311,-0.00280706288054562,0.00010656406753647793,1.8662021045501298e-05,0.6648351648351648,0.510989010989011,182,1101,0.25
AGN,r,g,0.207138889099876,2.0,0.09069618592034687,0.35785231503080717,0.018798905457972127,0.7338764852949307,0.10314831099316903,-0.03906589991251894,4.71227022889971,0.5935366742076775,0.8148148148148148,0.7407407407407407,27,130,0.25
SNII,r,g,0.0834544120618506,2.3333333333333335,0.007291131000027543,-0.062267642233991456,-0.0024758160290170054,0.07387305758322289,0.023413182256626336,-0.003793545430523405,1.495657903995203e-06,7.040926930379499e-08,0.6276595744680851,0.5,94,471,0.25
TDE,r,g,0.0594264932975567,2.0,0.30390982587626125,0.4433662817364384,0.09060408922784668,0.6175950717345913,0.3102104285878346,-0.0008270002523087685,0.5973851281386685,0.23925470255268227,0.8809523809523809,0.6666666666666666,42,114,0.25
SNIbc,r,g,0.0797001686825527,2.5,0.04991451288578261,0.9221349128678505,2.378819466994112e-06,0.12872209711446386,0.029899699239165075,-0.0005277887470442836,7.687356949930066e-06,1.8211567246129157e-05,0.7714285714285715,0.5428571428571428,35,173,0.25
SLSN-I,r,g,0.1363275740921471,2.6666666666666665,0.07136495553600196,0.2227077449074534,0.0076276567446684354,0.1845411812754275,0.06660716483977581,0.0003620265525664636,0.06596218394737131,0.01919812716855618,0.8,0.5333333333333333,15,82,0.25
SNIax,r,g,0.1077089892462786,9.909090909090908,0.04577946702768799,0.17700184905740013,0.009675845838794238,0.13743735383985944,0.036202240254510784,-0.004671995808510389,1.2631387136636203,0.1407308257760418,0.7692307692307693,0.8461538461538461,13,94,0.25
M-dwarf,r,g,0.1526954176590611,9.59090909090909,-0.0005124579571718214,-6.470555159403643,-0.04709766799255192,0.004383173882520438,0.007151628530046047,-0.0005541921493249951,-8.772750030323212e-05,-1.1497144707939277e-05,0.375,0.5,40,300,0.25
KN,r,g,0.1837254495341109,1.8333333333333335,-4.1230611047549104e-07,-0.006253741648548876,-0.00029788828117227606,0.0002774795981823064,6.2929037087881115e-06,-3.847262636833994e-07,-0.0020736550523682445,-8.788046511232217e-05,0.5,0.5,10,26,0.25
SNIa-91bg,r,g,0.1156187253735272,2.0,-7.5093356248778775e-06,-0.009883877131789546,-0.02738678789785361,0.054078376301085564,0.0055865156718493585,-7.400362885483656e-06,-0.28354810377851564,-0.0724576240241479,0.46153846153846156,0.3076923076923077,13,46,0.25
EB,r,g,0.1126444460871427,10.045454545454545,-7.006074796755968e-06,-0.06838546269892587,-0.0684465595662695,0.007930979966569128,-6.843142802602934e-06,-0.0013506303671639512,-7.743466170380291,-0.37407291858066305,0.4583333333333333,0.3333333333333333,24,183,0.25
RRL,r,g,0.2211019053842177,9.909090909090908,0.04673098192426973,0.17447757759460775,0.04019297483938706,0.21163488415173043,0.3715721516859223,0.007726217262603113,218225.8730338443,53.53095953513821,1.0,0.6,5,46,0.25
