class,auxiliary_band,target_band,d_total_pair,effective_aux_support,median_delta_nlpd,mean_delta_nlpd,q25_delta_nlpd,q75_delta_nlpd,median_delta_sharp,median_delta_std_error,median_delta_squared_error,median_delta_rmse,fraction_improved_nlpd,fraction_improved_rmse,n_objects,total_test_points,support_window
SNIa,r,i,0.0350320535536699,4.5,0.0653413205942868,0.14871667177605882,0.0019363164378252056,0.17972571066394044,0.07235291046704567,-0.002295562466925972,0.5939486524645928,0.09697417501149663,0.7747252747252747,0.6593406593406593,182,1352,0.25
AGN,r,i,0.2192372009953394,3.8,0.07781521743150144,0.1872287652453741,-0.07996736480884467,0.36509865314226086,0.0720679509839408,0.018074457090721974,6.730858936559858,0.5986192050989292,0.6666666666666666,0.6296296296296297,27,180,0.25
SNII,r,i,0.0750878223427422,4.2,0.03726141464400342,0.06265470339005473,1.190791240957001e-06,0.15348308291078305,0.05891118416649381,-0.008529573102456015,0.3328942634217197,0.0506973359926155,0.7578947368421053,0.6210526315789474,95,625,0.25
TDE,r,i,0.0569333018935317,3.7333333333333334,0.0773005382208727,0.05481567643143612,0.003517296805005721,0.2023248447966255,0.10949983916149233,-0.020877368904593303,0.3980779850064081,0.028704123083478805,0.7380952380952381,0.5714285714285714,42,217,0.25
SNIbc,r,i,0.0906391983339795,4.0,0.050439889813753996,0.0835585374785596,7.159976945599182e-07,0.15798564599317272,0.09549161565868805,-0.005856159806696819,0.5393887037823378,0.0767287091323352,0.7714285714285715,0.6285714285714286,35,232,0.25
SLSN-I,r,i,0.1187466210280299,4.6,0.07396725565140186,0.17190579592494845,0.03834391700702279,0.19792238867582895,0.11387705095712124,-0.00450120968178361,6.112190975841816,0.4144221936444472,0.8666666666666667,0.9333333333333333,15,104,0.25
SNIax,r,i,0.0666921417737207,8.727272727272727,0.07297100681337165,0.09392527166723445,0.02426442603962554,0.15095480313695903,0.05934687964471971,0.009012985476355777,0.4490013697906615,0.11388381004140147,0.8461538461538461,0.6153846153846154,13,107,0.25
M-dwarf,r,i,0.0525276419220705,9.363636363636363,1.004480583244316e-06,-0.26934319838944465,-0.03836800126374727,0.01721430070020301,0.0030284449443671977,8.356845042102739e-05,0.11244208722344293,0.024098736343110883,0.5128205128205128,0.5897435897435898,39,325,0.25
KN,r,i,0.2495221657545751,3.7,0.004526964381177711,-0.39131178214644663,-0.03090635588016013,0.039485080141626314,0.02657313645513892,-0.0011057430350856618,0.021887403065144053,0.002876409007971814,0.7,0.7,10,51,0.25
SNIa-91bg,r,i,0.1343049470519098,3.6666666666666665,0.01040755457083545,0.09984246716184239,-8.393716299792686e-08,0.17522355089507807,0.023703620989104165,-0.0003935894769246138,0.07039671971612647,0.022473374014938985,0.6923076923076923,0.6923076923076923,13,72,0.25
EB,r,i,0.0380122389993249,9.954545454545455,1.4514216873868173e-06,-0.014245379285005855,-0.012758981228651595,0.03158385113023199,2.669557874806146e-06,-0.0003986278873118776,-1.383778157653197,-0.08445978365237594,0.5416666666666666,0.4166666666666667,24,201,0.25
RRL,r,i,0.2000288614515213,10.545454545454545,0.11462035663148457,-0.06499033290131367,-0.0692904140103554,0.1279374989718466,0.1570039055947319,-0.029066406622885482,-654234.8312700929,-128.18304916774605,0.6,0.0,5,49,0.25
