class,auxiliary_band,target_band,d_total_pair,effective_aux_support,median_delta_nlpd,mean_delta_nlpd,q25_delta_nlpd,q75_delta_nlpd,median_delta_sharp,median_delta_std_error,median_delta_squared_error,median_delta_rmse,fraction_improved_nlpd,fraction_improved_rmse,n_objects,total_test_points,support_window
SNIa,u,g,0.05897654927001,2.5,1.3446508622412996e-05,0.13197190126356553,-0.008231682461935912,0.014443791369392946,0.00017428466135469283,-1.7943245055140386e-05,-4.8496224308322274e-05,-2.041435268040903e-05,0.5494505494505495,0.45604395604395603,182,1101,0.25
AGN,u,g,0.3577864793035469,1.6666666666666667,0.11454902671194765,0.29290524743854324,0.0006175522698915344,0.3504014065831357,0.11788171089109045,-0.04934601964067938,2.3105983452163583,0.1569526232695424,0.7407407407407407,0.6296296296296297,27,130,0.25
SNII,u,g,0.0621338089171454,2.0,1.7802295854056165e-05,0.05562416200637496,-0.007090232097912713,0.044150247586337454,0.002118676734894181,-0.0005592666606201305,-0.0061528537621495126,-0.0016946391638892333,0.5531914893617021,0.39361702127659576,94,471,0.25
TDE,u,g,0.1404372671741083,2.0,0.21574416748135516,0.227403288739546,0.03387333409421441,0.5661878801687283,0.3463942053870941,-0.035000481814261256,-2.8098302769954175,-0.33070515187405625,0.7619047619047619,0.40476190476190477,42,114,0.25
SNIbc,u,g,0.0871902844085069,1.6666666666666667,0.0005519748290111784,0.204590697522015,-4.984492068223675e-06,0.026223837697961574,0.002113909921817489,-9.523386475622045e-07,0.00024034037338188652,1.5096751144305642e-05,0.6571428571428571,0.5428571428571428,35,173,0.25
SLSN-I,u,g,0.1020934185205213,2.6666666666666665,0.09191288640503509,0.22382333140634397,0.012140035731998951,0.24629693482764736,0.039734680048525255,-0.0025627123825064744,-0.002596842755013454,-0.0006218073370924948,0.8,0.4666666666666667,15,82,0.25
SNIax,u,g,0.1454580848951016,9.454545454545455,0.0009376135331273794,0.009259289394326896,-0.03576622235944349,0.04070765670529306,0.000984628103541532,8.75934071636299e-06,-0.015634939783854145,-0.0016851540028861578,0.6153846153846154,0.46153846153846156,13,94,0.25
M-dwarf,u,g,0.2166250007379913,8.818181818181818,5.833157941942895e-06,0.03284687257931432,-1.1743910255841326e-05,0.004131990940163674,1.0886150370910653e-05,1.163792920431651e-07,0.0030693266346738302,0.00014103772788998103,0.625,0.65,40,300,0.25
KN,u,g,0.2966536502271604,1.6666666666666667,-1.8856724922263386e-06,1.4804040640504348,-0.0011593138052586143,0.003172636282685974,-1.0394709117372429e-05,1.300984372293251e-05,0.00082912692928754,0.0003323737375789393,0.4,0.6,10,26,0.25
SNIa-91bg,u,g,0.1567127562449675,1.6666666666666667,0.0023530439122233884,0.04055881922988544,8.056178923965263e-08,0.021937782171553694,1.8334178970520594e-05,3.362906706331151e-05,0.0006403250850724554,0.00020417184560339585,0.7692307692307693,0.6923076923076923,13,46,0.25
EB,u,g,0.1162561005350164,9.045454545454547,0.043372044999033396,0.27802976931357276,-8.71979208937772e-06,0.20997439445517554,0.009075948116700875,0.005288090453848873,-0.002549868419709282,-0.00019105541625596967,0.75,0.5,24,183,0.25
RRL,u,g,0.369483632577433,8.818181818181818,0.13393682575324545,0.14237655039538158,0.03220982641856842,0.16620115084531786,0.07899995711704128,-5.348997913811118e-07,35168.2808663691,38.83624398099022,0.8,0.6,5,46,0.25
