class,auxiliary_band,target_band,d_total_pair,effective_aux_support,median_delta_nlpd,mean_delta_nlpd,q25_delta_nlpd,q75_delta_nlpd,median_delta_sharp,median_delta_std_error,median_delta_squared_error,median_delta_rmse,fraction_improved_nlpd,fraction_improved_rmse,n_objects,total_test_points,support_window
SNIa,z,i,0.0279083380245932,4.0,0.03429214689522908,0.18579720914113743,-0.00858428744987645,0.15181169280524898,0.049163707502622694,-0.013362762791196976,0.05456610778110436,0.014388393137311772,0.6923076923076923,0.5384615384615384,182,1352,0.25
AGN,z,i,0.2849181208172718,3.8,0.00938764697832281,0.05137268133097413,-0.09917620005647237,0.1911437030312933,0.045850087978761285,-0.05807028396568549,8.430771144743426,0.36869495924918994,0.5185185185185185,0.5555555555555556,27,180,0.25
SNII,z,i,0.0339369104064519,3.5,0.039468833388939674,0.05069271142096713,-0.003417911212535298,0.14434863823052307,0.054289807580367,-0.019023877506785337,0.15703652559420372,0.02635124531027211,0.7473684210526316,0.5789473684210527,95,625,0.25
TDE,z,i,0.0517549796817323,3.3,0.04044996153356508,0.06578930422193045,-0.006596003702144371,0.15328594574046162,0.06897667812273105,-0.03279196664353216,-0.602490901511654,-0.05924394820396062,0.6904761904761905,0.4523809523809524,42,217,0.25
SNIbc,z,i,0.0756818284976353,3.5,0.049397952489383036,0.08046023587719434,2.246617688772542e-07,0.15359568969468484,0.06020795696656334,-0.009661305363437187,0.1898534899750784,0.05265446478397329,0.7428571428571429,0.6,35,232,0.25
SLSN-I,z,i,0.1620832272211742,3.6,0.038363025739829214,-0.022840859732807382,-0.04980431315974984,0.05651964464889647,0.044420800391234035,-0.02861147338940272,0.008053536243916585,0.0023020721346800332,0.6666666666666666,0.5333333333333333,15,104,0.25
SNIax,z,i,0.1345341102720635,8.727272727272727,0.013913772569387936,0.037134859959293616,-0.052415332373661985,0.07987590000507971,0.05933204068286314,-0.06321160667466652,-0.000366208230842302,-4.166872308175584e-05,0.6153846153846154,0.46153846153846156,13,107,0.25
M-dwarf,z,i,0.1870541151768371,9.181818181818182,8.459633577828641e-06,0.2817607066938548,-0.004746143544482941,0.16489229253941912,0.0003138219123000678,5.250358739812881e-06,0.0010134319823361438,0.00012920546170036573,0.5641025641025641,0.5384615384615384,39,325,0.25
KN,z,i,0.2281840317041751,3.15,1.936761830958478e-05,0.029330034704368606,-7.907382860246059e-05,0.04172328888725561,0.012058532059938957,-1.5106046827662884e-05,-0.0051571210850328165,-0.0001429410680464649,0.6,0.4,10,51,0.25
SNIa-91bg,z,i,0.1483405251033318,3.4,0.09429104176452965,0.13353905179011807,0.007372012005907802,0.27025832426539254,0.24361953251790158,-0.03189077962701381,-0.008748019686052367,-0.0008955951077593838,0.7692307692307693,0.46153846153846156,13,72,0.25
EB,z,i,0.0842416761397863,9.954545454545453,0.041634623499404076,0.11752351561864305,3.4183561352147347e-06,0.21762654090218528,0.03384950801584423,1.1552542797205756e-05,0.0048437199445110594,8.518357481746008e-05,0.75,0.5833333333333334,24,201,0.25
RRL,z,i,0.2144181941409215,10.363636363636363,0.894125771900352,1.1721716313448307,0.04902304100997348,1.0658705254576764,0.0010055883334406227,0.8177345468796445,319534.6916157357,152.87836847665864,0.8,1.0,5,49,0.25
