object_id,obj_type,band,time_space,t_all,flux_all,flux_err_all,t_train,flux_train,flux_err_train,t_test,flux_test
21846282,SNIa,r,raw,"[59817.335921763246, 59821.378923768614, 59868.25392171801, 59897.08595499477, 59957.08984280375, 60148.398442134516, 60151.37890441446, 60175.31640205585, 60293.109375, 60558.28516405317, 60581.265620288104, 60590.22265927655, 60609.14063107339, 60614.19923527329, 60617.15625243152, 60633.109376267064, 60140.41015292714, 60202.24608926677, 60314.12109357796, 60589.19531087743]","[-3.425312042236328, -1.288174033164978, -3.8485519886016846, -0.008520999923348427, -4.463080883026123, 5.44700288772583, -5.462917804718018, 3.856652021408081, 77.0830078125, 2.0479519367218018, 2.8383989334106445, 1.1877280473709106, -1.802075982093811, 7.648275852203369, -0.4436019957065582, -2.0061659812927246, -1.0907570123672485, 0.9515069723129272, 40.877479553222656, 4.032320022583008]","[3.374941110610962, 2.875113010406494, 5.143302917480469, 3.909471035003662, 5.102755069732666, 3.4635651111602783, 3.39786696434021, 3.706692934036255, 2.89496111869812, 4.016022205352783, 2.943739891052246, 1.9195499420166016, 2.238023042678833, 2.620163917541504, 2.481142997741699, 5.5669379234313965, 5.700102806091309, 3.9083309173583984, 5.6790080070495605, 1.8441120386123657]","[59817.335921763246, 59821.378923768614, 59868.25392171801, 59897.08595499477, 59957.08984280375, 60148.398442134516, 60151.37890441446, 60175.31640205585, 60293.109375, 60558.28516405317, 60581.265620288104, 60590.22265927655, 60609.14063107339, 60614.19923527329, 60617.15625243152, 60633.109376267064]","[-3.425312042236328, -1.288174033164978, -3.8485519886016846, -0.008520999923348427, -4.463080883026123, 5.44700288772583, -5.462917804718018, 3.856652021408081, 77.0830078125, 2.0479519367218018, 2.8383989334106445, 1.1877280473709106, -1.802075982093811, 7.648275852203369, -0.4436019957065582, -2.0061659812927246]","[3.374941110610962, 2.875113010406494, 5.143302917480469, 3.909471035003662, 5.102755069732666, 3.4635651111602783, 3.39786696434021, 3.706692934036255, 2.89496111869812, 4.016022205352783, 2.943739891052246, 1.9195499420166016, 2.238023042678833, 2.620163917541504, 2.481142997741699, 5.5669379234313965]","[60140.41015292714, 60202.24608926677, 60314.12109357796, 60589.19531087743]","[-1.0907570123672485, 0.9515069723129272, 40.877479553222656, 4.032320022583008]"
114421739,AGN,r,raw,"[59817.33593893796, 59868.25390625, 59897.08593741013, 59957.08984131832, 60140.410155823454, 60148.39843733236, 60175.316389042884, 60314.121090471745, 60558.28513170779, 60581.26563089341, 60590.22267359495, 60609.14062010497, 60615.128918103874, 60202.24999606237, 60293.10938870907, 60589.183588042855, 60633.109396249056]","[49.55135726928711, 51.08403778076172, 47.52024841308594, 40.68425369262695, 21.07999610900879, 22.03207015991211, 17.401899337768555, 4.82488489151001, 4.670154094696045, 14.170669555664062, 10.235275268554688, 1.145982027053833, 2.5896270275115967, 18.445308685302734, 2.520880937576294, 8.792679786682129, -2.8343698978424072]","[3.9589810371398926, 5.595171928405762, 4.451058864593506, 5.858092784881592, 6.350588798522949, 3.8294310569763184, 4.181862831115723, 6.182025909423828, 4.444550037384033, 3.251286029815674, 3.29876708984375, 2.577471971511841, 3.8476340770721436, 3.0439250469207764, 4.315421104431152, 3.810359001159668, 6.152552127838135]","[59817.33593893796, 59868.25390625, 59897.08593741013, 59957.08984131832, 60140.410155823454, 60148.39843733236, 60175.316389042884, 60314.121090471745, 60558.28513170779, 60581.26563089341, 60590.22267359495, 60609.14062010497, 60615.128918103874]","[49.55135726928711, 51.08403778076172, 47.52024841308594, 40.68425369262695, 21.07999610900879, 22.03207015991211, 17.401899337768555, 4.82488489151001, 4.670154094696045, 14.170669555664062, 10.235275268554688, 1.145982027053833, 2.5896270275115967]","[3.9589810371398926, 5.595171928405762, 4.451058864593506, 5.858092784881592, 6.350588798522949, 3.8294310569763184, 4.181862831115723, 6.182025909423828, 4.444550037384033, 3.251286029815674, 3.29876708984375, 2.577471971511841, 3.8476340770721436]","[60202.24999606237, 60293.10938870907, 60589.183588042855, 60633.109396249056]","[18.445308685302734, 2.520880937576294, 8.792679786682129, -2.8343698978424072]"
30652072,SNII,r,raw,"[59783.24997595223, 59809.24607849909, 59844.05081030053, 59901.12110896635, 60082.41797659548, 60085.390640418416, 60168.2617223735, 60175.15623671199, 60224.12889859928, 60268.1406308523, 60467.39843845026, 60494.28515650861, 60502.2421875, 60550.191408236715, 60575.17578084864, 60580.113279421385, 60583.05859406054, 60649.12891448605, 59837.22658051638, 59853.05862515361, 59926.12111091618, 60147.28516595073, 60491.30468772572]","[-4.589415073394775, 4.844305038452148, -0.05152200162410736, -0.02457600086927414, -0.5425999760627747, -3.8508999347686768, -1.592005968093872, 0.6289529800415039, 0.32330799102783203, -1.7509750127792358, 17.760671615600586, 18.901634216308594, 19.99174690246582, 7.552206039428711, -2.330095052719116, 1.027353048324585, 8.908778190612793, 6.4723029136657715, -3.1823039054870605, 5.536118030548096, -2.9256539344787598, -1.3691749572753906, 15.6041898727417]","[3.586945056915283, 2.869657039642334, 3.822772979736328, 3.0278639793395996, 4.018139839172363, 3.5140860080718994, 2.7574379444122314, 2.033423900604248, 2.193042039871216, 4.122808933258057, 3.1506500244140625, 3.007067918777466, 3.7153189182281494, 2.7715060710906982, 3.10453200340271, 3.478192090988159, 3.604994058609009, 2.437160015106201, 4.958862781524658, 3.298007011413574, 2.8424360752105713, 1.9787009954452515, 5.09480619430542]","[59783.24997595223, 59809.24607849909, 59844.05081030053, 59901.12110896635, 60082.41797659548, 60085.390640418416, 60168.2617223735, 60175.15623671199, 60224.12889859928, 60268.1406308523, 60467.39843845026, 60494.28515650861, 60502.2421875, 60550.191408236715, 60575.17578084864, 60580.113279421385, 60583.05859406054, 60649.12891448605]","[-4.589415073394775, 4.844305038452148, -0.05152200162410736, -0.02457600086927414, -0.5425999760627747, -3.8508999347686768, -1.592005968093872, 0.6289529800415039, 0.32330799102783203, -1.7509750127792358, 17.760671615600586, 18.901634216308594, 19.99174690246582, 7.552206039428711, -2.330095052719116, 1.027353048324585, 8.908778190612793, 6.4723029136657715]","[3.586945056915283, 2.869657039642334, 3.822772979736328, 3.0278639793395996, 4.018139839172363, 3.5140860080718994, 2.7574379444122314, 2.033423900604248, 2.193042039871216, 4.122808933258057, 3.1506500244140625, 3.007067918777466, 3.7153189182281494, 2.7715060710906982, 3.10453200340271, 3.478192090988159, 3.604994058609009, 2.437160015106201]","[59837.22658051638, 59853.05862515361, 59926.12111091618, 60147.28516595073, 60491.30468772572]","[-3.1823039054870605, 5.536118030548096, -2.9256539344787598, -1.3691749572753906, 15.6041898727417]"
107732897,TDE,r,raw,"[59783.249978699605, 59837.22658228318, 59901.1211210701, 59926.121086641, 60082.417980262944, 60085.39062238535, 60147.28514350001, 60168.26171082368, 60175.15625661592, 60224.128922201744, 60268.14060944427, 60491.30468397554, 60494.285153627854, 60502.24218487107, 60550.191406905855, 60575.17578125, 60580.11328149184, 60583.05859358611, 59809.246123122575, 59844.05078403499, 59853.0585873613, 60467.398434183924, 60649.12890342545]","[-0.982899010181427, -0.2809309959411621, -1.8895360231399536, -2.140697956085205, -0.951653003692627, 2.7737441062927246, 0.589402973651886, 0.581915020942688, 2.9096410274505615, 1.6829320192337036, 2.3729379177093506, 2.0943589210510254, 0.02544499933719635, -3.557343006134033, 171.59213256835938, 5351.39404296875, 5280.44921875, 5118.65625, 1.3893790245056152, -5.383227825164795, -3.1152820587158203, 2.4245541095733643, 213.11959838867188]","[3.5868799686431885, 4.958838939666748, 3.0278780460357666, 2.8424201011657715, 4.018142223358154, 3.5190320014953613, 1.9795900583267212, 2.759913921356201, 2.036942958831787, 2.1967151165008545, 4.126121997833252, 5.07827615737915, 2.965848922729492, 3.679716110229492, 3.2145791053771973, 26.649629592895508, 26.80811309814453, 26.095922470092773, 2.8628311157226562, 3.8228609561920166, 3.287724018096924, 3.119792938232422, 3.0930869579315186]","[59783.249978699605, 59837.22658228318, 59901.1211210701, 59926.121086641, 60082.417980262944, 60085.39062238535, 60147.28514350001, 60168.26171082368, 60175.15625661592, 60224.128922201744, 60268.14060944427, 60491.30468397554, 60494.285153627854, 60502.24218487107, 60550.191406905855, 60575.17578125, 60580.11328149184, 60583.05859358611]","[-0.982899010181427, -0.2809309959411621, -1.8895360231399536, -2.140697956085205, -0.951653003692627, 2.7737441062927246, 0.589402973651886, 0.581915020942688, 2.9096410274505615, 1.6829320192337036, 2.3729379177093506, 2.0943589210510254, 0.02544499933719635, -3.557343006134033, 171.59213256835938, 5351.39404296875, 5280.44921875, 5118.65625]","[3.5868799686431885, 4.958838939666748, 3.0278780460357666, 2.8424201011657715, 4.018142223358154, 3.5190320014953613, 1.9795900583267212, 2.759913921356201, 2.036942958831787, 2.1967151165008545, 4.126121997833252, 5.07827615737915, 2.965848922729492, 3.679716110229492, 3.2145791053771973, 26.649629592895508, 26.80811309814453, 26.095922470092773]","[59809.246123122575, 59844.05078403499, 59853.0585873613, 60467.398434183924, 60649.12890342545]","[1.3893790245056152, -5.383227825164795, -3.1152820587158203, 2.4245541095733643, 213.11959838867188]"
121186562,AGN,r,raw,"[59783.25001768497, 59809.246091668596, 59837.22655676681, 59844.050775989104, 59853.05857238517, 59901.12498589985, 59926.121100001175, 59929.09375536926, 60078.3984491144, 60082.417977923455, 60085.3867347486, 60168.261731126724, 60175.156255165304, 60268.14063202501, 60467.3984375, 60491.30468771526, 60494.285156549646, 60496.355469175345, 60536.1992188516, 60583.08203145524, 60147.28124729152, 60224.128899727526, 60502.24218915202, 60575.17577819361, 60581.02734371459, 60649.12890173434]","[-4.876922130584717, -23.744617462158203, -35.38341522216797, -46.083534240722656, -25.802711486816406, 37.94172668457031, 44.34584045410156, 25.365097045898438, -67.27855682373047, -21.396438598632812, -32.38118362426758, 54.45630645751953, 62.946922302246094, -65.72779083251953, -85.46509552001953, -36.63990020751953, -40.80988693237305, -42.88243103027344, 71.80406951904297, 22.836841583251953, -24.994871139526367, -4.208780765533447, -38.6085319519043, 7.884031772613525, 29.829998016357422, 79.12580871582031]","[4.375513076782227, 3.7060799598693848, 5.921212196350098, 4.407792091369629, 4.099548816680908, 3.976231098175049, 3.9031291007995605, 3.8215630054473877, 6.080808162689209, 5.313857078552246, 4.224287033081055, 4.611221790313721, 1.9617860317230225, 4.7171831130981445, 3.8910269737243652, 5.611032009124756, 3.856147050857544, 3.1699419021606445, 5.159329891204834, 1.8874510526657104, 1.856449007987976, 3.3045780658721924, 4.433977127075195, 3.6746699810028076, 4.7862348556518555, 3.673569917678833]","[59783.25001768497, 59809.246091668596, 59837.22655676681, 59844.050775989104, 59853.05857238517, 59901.12498589985, 59926.121100001175, 59929.09375536926, 60078.3984491144, 60082.417977923455, 60085.3867347486, 60168.261731126724, 60175.156255165304, 60268.14063202501, 60467.3984375, 60491.30468771526, 60494.285156549646, 60496.355469175345, 60536.1992188516, 60583.08203145524]","[-4.876922130584717, -23.744617462158203, -35.38341522216797, -46.083534240722656, -25.802711486816406, 37.94172668457031, 44.34584045410156, 25.365097045898438, -67.27855682373047, -21.396438598632812, -32.38118362426758, 54.45630645751953, 62.946922302246094, -65.72779083251953, -85.46509552001953, -36.63990020751953, -40.80988693237305, -42.88243103027344, 71.80406951904297, 22.836841583251953]","[4.375513076782227, 3.7060799598693848, 5.921212196350098, 4.407792091369629, 4.099548816680908, 3.976231098175049, 3.9031291007995605, 3.8215630054473877, 6.080808162689209, 5.313857078552246, 4.224287033081055, 4.611221790313721, 1.9617860317230225, 4.7171831130981445, 3.8910269737243652, 5.611032009124756, 3.856147050857544, 3.1699419021606445, 5.159329891204834, 1.8874510526657104]","[60147.28124729152, 60224.128899727526, 60502.24218915202, 60575.17577819361, 60581.02734371459, 60649.12890173434]","[-24.994871139526367, -4.208780765533447, -38.6085319519043, 7.884031772613525, 29.829998016357422, 79.12580871582031]"
10905347,SNII,r,raw,"[59796.25779979949, 59809.37108429194, 59821.14061806096, 59837.191406644866, 59844.07811785971, 59901.136715397864, 59926.11719262879, 59929.093749515, 60122.41015625, 60143.273437280186, 60168.23828260018, 60175.15624864269, 60224.12500398452, 60494.312492987316, 60532.242200593646, 60575.17969609968, 60580.11326390213, 60583.05861093164, 60604.03516035673, 59783.253920695184, 60164.40234387171, 60169.18749846224, 60496.3554704195, 60531.28906775966]","[2.123948097229004, 1.2603199481964111, -3.0048179626464844, -5.933638095855713, -0.107634998857975, 2.22235107421875, 0.13515399396419525, -0.6156830191612244, 45.08603286743164, 25.529634475708008, 20.582942962646484, 12.484066009521484, 2.398108959197998, 2.294579029083252, 2.6361470222473145, 0.784034013748169, -1.0415630340576172, -2.4851949214935303, -5.0695672035217285, 5.223720073699951, 21.57420539855957, 15.56059455871582, -1.511262059211731, -1.5517159700393677]","[3.720151901245117, 3.5721230506896973, 4.131979942321777, 3.896224021911621, 3.3522229194641113, 2.876894950866699, 2.5876359939575195, 1.809203028678894, 3.171030044555664, 3.295264959335327, 1.4931930303573608, 2.1106529235839844, 2.2977840900421143, 2.831763982772827, 2.4949870109558105, 2.801224946975708, 3.5299649238586426, 3.704102039337158, 3.279855966567993, 3.8416240215301514, 4.963315963745117, 2.4885311126708984, 1.4939379692077637, 2.6292879581451416]","[59796.25779979949, 59809.37108429194, 59821.14061806096, 59837.191406644866, 59844.07811785971, 59901.136715397864, 59926.11719262879, 59929.093749515, 60122.41015625, 60143.273437280186, 60168.23828260018, 60175.15624864269, 60224.12500398452, 60494.312492987316, 60532.242200593646, 60575.17969609968, 60580.11326390213, 60583.05861093164, 60604.03516035673]","[2.123948097229004, 1.2603199481964111, -3.0048179626464844, -5.933638095855713, -0.107634998857975, 2.22235107421875, 0.13515399396419525, -0.6156830191612244, 45.08603286743164, 25.529634475708008, 20.582942962646484, 12.484066009521484, 2.398108959197998, 2.294579029083252, 2.6361470222473145, 0.784034013748169, -1.0415630340576172, -2.4851949214935303, -5.0695672035217285]","[3.720151901245117, 3.5721230506896973, 4.131979942321777, 3.896224021911621, 3.3522229194641113, 2.876894950866699, 2.5876359939575195, 1.809203028678894, 3.171030044555664, 3.295264959335327, 1.4931930303573608, 2.1106529235839844, 2.2977840900421143, 2.831763982772827, 2.4949870109558105, 2.801224946975708, 3.5299649238586426, 3.704102039337158, 3.279855966567993]","[59783.253920695184, 60164.40234387171, 60169.18749846224, 60496.3554704195, 60531.28906775966]","[5.223720073699951, 21.57420539855957, 15.56059455871582, -1.511262059211731, -1.5517159700393677]"
16775731,SNIa,r,raw,"[59781.41017177055, 59796.27734535757, 59817.18748472509, 59821.17187351728, 59837.191388556996, 59844.0625148925, 60143.27343786041, 60166.23828111256, 60168.23437498502, 60169.18359375, 60462.40234917887, 60494.28517272104, 60496.355479815116, 60531.28124743785, 60532.24217317725, 60580.11326290821, 60649.12890553538, 59901.156258852694, 60122.410155267935, 60164.22656266731, 60583.058575545656, 60589.08592633002]","[-6.384006023406982, 2.5554699897766113, -0.03813999891281128, 1.69576895236969, -1.462546944618225, 2.1902050971984863, -1.4555779695510864, 94.6076431274414, 116.90972900390625, 123.04637908935547, 3.9036779403686523, 4.163938999176025, -1.497905969619751, -1.3031359910964966, 1.8710819482803345, 0.49594900012016296, -1.835068941116333, -1.2887860536575317, 0.9099100232124329, 74.20283508300781, 0.3462890088558197, -4.066775798797607]","[4.687047958374023, 2.6738619804382324, 2.1128060817718506, 2.5146899223327637, 3.841041088104248, 2.3627960681915283, 3.1497509479522705, 2.8146259784698486, 1.7468489408493042, 2.8822519779205322, 4.988654136657715, 3.057090997695923, 1.4698270559310913, 2.6479790210723877, 2.459057092666626, 3.5049030780792236, 2.365648031234741, 3.0295419692993164, 2.1525750160217285, 3.5976901054382324, 3.7051589488983154, 1.2546099424362183]","[59781.41017177055, 59796.27734535757, 59817.18748472509, 59821.17187351728, 59837.191388556996, 59844.0625148925, 60143.27343786041, 60166.23828111256, 60168.23437498502, 60169.18359375, 60462.40234917887, 60494.28517272104, 60496.355479815116, 60531.28124743785, 60532.24217317725, 60580.11326290821, 60649.12890553538]","[-6.384006023406982, 2.5554699897766113, -0.03813999891281128, 1.69576895236969, -1.462546944618225, 2.1902050971984863, -1.4555779695510864, 94.6076431274414, 116.90972900390625, 123.04637908935547, 3.9036779403686523, 4.163938999176025, -1.497905969619751, -1.3031359910964966, 1.8710819482803345, 0.49594900012016296, -1.835068941116333]","[4.687047958374023, 2.6738619804382324, 2.1128060817718506, 2.5146899223327637, 3.841041088104248, 2.3627960681915283, 3.1497509479522705, 2.8146259784698486, 1.7468489408493042, 2.8822519779205322, 4.988654136657715, 3.057090997695923, 1.4698270559310913, 2.6479790210723877, 2.459057092666626, 3.5049030780792236, 2.365648031234741]","[59901.156258852694, 60122.410155267935, 60164.22656266731, 60583.058575545656, 60589.08592633002]","[-1.2887860536575317, 0.9099100232124329, 74.20283508300781, 0.3462890088558197, -4.066775798797607]"
31971611,SNII,r,raw,"[59783.25391674448, 59796.25778326478, 59817.18746335003, 59837.191394504625, 59844.078092872616, 59853.05859060175, 59929.09376108889, 60122.41015073294, 60164.402338378786, 60168.238274942996, 60169.18749069077, 60494.28515628126, 60496.35546875, 60531.28124887779, 60550.191408124294, 60583.05859384022, 60589.07812529568, 60604.03516032377, 60175.1445478863, 60221.20703795757, 60224.124991180375, 60575.17187274278, 60580.113281558486]","[5.704154968261719, -1.6656010150909424, -0.35631000995635986, 3.0085558891296387, 1.0147169828414917, -1.6593090295791626, -3.3855578899383545, 1.2211289405822754, 1.28656005859375, -0.44162699580192566, -0.24251200258731842, 43.92525863647461, 44.83253860473633, 20.950632095336914, 6.870325088500977, -0.09110599756240845, 4.74383020401001, 2.262326955795288, 4.9676971435546875, 4.585783958435059, -1.3801389932632446, 7.466310977935791, 0.9917590022087097]","[3.838974952697754, 3.657536029815674, 2.1067709922790527, 3.8968420028686523, 3.2203369140625, 3.380289077758789, 2.5795350074768066, 3.078068971633911, 4.911272048950195, 1.446457028388977, 1.705124020576477, 2.236366033554077, 2.2383580207824707, 2.692063093185425, 2.8146109580993652, 3.700762987136841, 2.2151689529418945, 3.2810211181640625, 3.135344982147217, 4.350945949554443, 2.2895500659942627, 2.194045066833496, 3.5284860134124756]","[59783.25391674448, 59796.25778326478, 59817.18746335003, 59837.191394504625, 59844.078092872616, 59853.05859060175, 59929.09376108889, 60122.41015073294, 60164.402338378786, 60168.238274942996, 60169.18749069077, 60494.28515628126, 60496.35546875, 60531.28124887779, 60550.191408124294, 60583.05859384022, 60589.07812529568, 60604.03516032377]","[5.704154968261719, -1.6656010150909424, -0.35631000995635986, 3.0085558891296387, 1.0147169828414917, -1.6593090295791626, -3.3855578899383545, 1.2211289405822754, 1.28656005859375, -0.44162699580192566, -0.24251200258731842, 43.92525863647461, 44.83253860473633, 20.950632095336914, 6.870325088500977, -0.09110599756240845, 4.74383020401001, 2.262326955795288]","[3.838974952697754, 3.657536029815674, 2.1067709922790527, 3.8968420028686523, 3.2203369140625, 3.380289077758789, 2.5795350074768066, 3.078068971633911, 4.911272048950195, 1.446457028388977, 1.705124020576477, 2.236366033554077, 2.2383580207824707, 2.692063093185425, 2.8146109580993652, 3.700762987136841, 2.2151689529418945, 3.2810211181640625]","[60175.1445478863, 60221.20703795757, 60224.124991180375, 60575.17187274278, 60580.113281558486]","[4.9676971435546875, 4.585783958435059, -1.3801389932632446, 7.466310977935791, 0.9917590022087097]"
50875482,SNIbc,r,raw,"[59781.41015625, 59796.25781259009, 59817.18750082921, 59837.19140533076, 60164.402358895895, 60168.23826469401, 60169.18748363561, 60175.14454489041, 60221.20701700944, 60224.12498502586, 60496.3554925604, 60531.281264695484, 60550.19144004536, 60575.148449293905, 60580.113297866774, 60583.058583334496, 60649.12889241824, 59844.07812587495, 59853.058595151815, 59929.09375251348, 60494.28515113402, 60589.078135490956]","[29.088903427124023, 17.936790466308594, 9.875962257385254, 13.79736328125, -2.6006100177764893, 1.3753830194473267, 0.9576560258865356, -0.5106729865074158, -7.612678050994873, -2.824981927871704, -1.4837290048599243, -2.2267520427703857, 1.6927989721298218, 0.06802400201559067, 0.6155279874801636, -4.577209949493408, 0.9507420063018799, 10.246688842773438, 0.7909500002861023, 3.672821044921875, 3.5974810123443604, 1.4984740018844604]","[4.72213077545166, 3.6694979667663574, 2.1246719360351562, 3.8928558826446533, 4.883747100830078, 1.0071580410003662, 1.6983139514923096, 3.1096439361572266, 4.323522090911865, 2.2781190872192383, 2.0945560932159424, 2.6307239532470703, 2.7893600463867188, 3.4840950965881348, 3.5101919174194336, 3.682302951812744, 2.349555015563965, 3.2222180366516113, 3.364778995513916, 2.5753180980682373, 3.031981945037842, 2.195235013961792]","[59781.41015625, 59796.25781259009, 59817.18750082921, 59837.19140533076, 60164.402358895895, 60168.23826469401, 60169.18748363561, 60175.14454489041, 60221.20701700944, 60224.12498502586, 60496.3554925604, 60531.281264695484, 60550.19144004536, 60575.148449293905, 60580.113297866774, 60583.058583334496, 60649.12889241824]","[29.088903427124023, 17.936790466308594, 9.875962257385254, 13.79736328125, -2.6006100177764893, 1.3753830194473267, 0.9576560258865356, -0.5106729865074158, -7.612678050994873, -2.824981927871704, -1.4837290048599243, -2.2267520427703857, 1.6927989721298218, 0.06802400201559067, 0.6155279874801636, -4.577209949493408, 0.9507420063018799]","[4.72213077545166, 3.6694979667663574, 2.1246719360351562, 3.8928558826446533, 4.883747100830078, 1.0071580410003662, 1.6983139514923096, 3.1096439361572266, 4.323522090911865, 2.2781190872192383, 2.0945560932159424, 2.6307239532470703, 2.7893600463867188, 3.4840950965881348, 3.5101919174194336, 3.682302951812744, 2.349555015563965]","[59844.07812587495, 59853.058595151815, 59929.09375251348, 60494.28515113402, 60589.078135490956]","[10.246688842773438, 0.7909500002861023, 3.672821044921875, 3.5974810123443604, 1.4984740018844604]"
52437992,AGN,r,raw,"[59783.25392101632, 59796.25782386097, 59817.187501521286, 59837.19141338256, 59844.07813610585, 60122.41015505329, 60164.40234423466, 60168.238281173406, 60169.18750022903, 60175.14453125, 60221.20703095499, 60224.12500090756, 60494.296879649366, 60496.355473416945, 60531.28905021501, 60532.24219353494, 60575.18360778154, 60580.11327482239, 60589.070304556546, 60604.03514418812, 59809.371096929564, 59929.09374753402, 60143.27343654364, 60550.19139273313, 60583.05857858973]","[3.3011341094970703, -15.32331371307373, -21.043092727661133, -22.21980857849121, -28.33262062072754, -35.241416931152344, -37.23541259765625, -38.845577239990234, -40.65766525268555, -45.235958099365234, -44.516353607177734, -43.70191955566406, 1.3157999515533447, 0.3477180004119873, -19.328662872314453, -19.179462432861328, -27.859508514404297, -24.894851684570312, -18.701419830322266, -20.144289016723633, -19.37897491455078, 0.1916079968214035, -38.15541458129883, -11.352087020874023, -16.294374465942383]","[3.969085931777954, 2.6721839904785156, 2.2647459506988525, 3.9825611114501953, 3.3219189643859863, 2.2221689224243164, 5.0173211097717285, 1.5362119674682617, 2.5474560260772705, 3.204068899154663, 4.406270980834961, 2.3862369060516357, 2.177928924560547, 2.3153789043426514, 2.760287046432495, 2.6283390522003174, 4.097177028656006, 3.626940965652466, 1.7352639436721802, 3.3908379077911377, 3.6674389839172363, 1.9363670349121094, 3.328934907913208, 2.94405198097229, 3.8128280639648438]","[59783.25392101632, 59796.25782386097, 59817.187501521286, 59837.19141338256, 59844.07813610585, 60122.41015505329, 60164.40234423466, 60168.238281173406, 60169.18750022903, 60175.14453125, 60221.20703095499, 60224.12500090756, 60494.296879649366, 60496.355473416945, 60531.28905021501, 60532.24219353494, 60575.18360778154, 60580.11327482239, 60589.070304556546, 60604.03514418812]","[3.3011341094970703, -15.32331371307373, -21.043092727661133, -22.21980857849121, -28.33262062072754, -35.241416931152344, -37.23541259765625, -38.845577239990234, -40.65766525268555, -45.235958099365234, -44.516353607177734, -43.70191955566406, 1.3157999515533447, 0.3477180004119873, -19.328662872314453, -19.179462432861328, -27.859508514404297, -24.894851684570312, -18.701419830322266, -20.144289016723633]","[3.969085931777954, 2.6721839904785156, 2.2647459506988525, 3.9825611114501953, 3.3219189643859863, 2.2221689224243164, 5.0173211097717285, 1.5362119674682617, 2.5474560260772705, 3.204068899154663, 4.406270980834961, 2.3862369060516357, 2.177928924560547, 2.3153789043426514, 2.760287046432495, 2.6283390522003174, 4.097177028656006, 3.626940965652466, 1.7352639436721802, 3.3908379077911377]","[59809.371096929564, 59929.09374753402, 60143.27343654364, 60550.19139273313, 60583.05857858973]","[-19.37897491455078, 0.1916079968214035, -38.15541458129883, -11.352087020874023, -16.294374465942383]"
