class,n_objects,n_objects_skipped_small_flux,min_object_flux_scale,n_target_train_mean,n_target_train_std,n_target_train_median,n_target_train_min,n_target_train_max,n_target_train_p10,n_target_train_p25,n_target_train_p75,n_target_train_p90,n_objects_target_train_lt_5,frac_objects_target_train_lt_5,object_flux_scale_min,object_flux_scale_p10,object_flux_scale_median,object_flux_scale_mean,rmse_mean,rmse_std,nrmse_mean,nrmse_std,nlpd_mean,nlpd_std,crps_mean,crps_std,ncrps_mean,ncrps_std,coverage_1sigma_mean,coverage_1sigma_std,coverage_2sigma_mean,coverage_2sigma_std,coverage_3sigma_mean,coverage_3sigma_std,z_mean_mean,z_mean_std,z_std_mean,z_std_std,n_objects_zstd_n_test_ge_5,z_std_mean_n_test_ge_5,z_std_std_n_test_ge_5
AGN,27,0,1e-06,23.925925925925927,10.24487559682952,19.0,13,41,16.0,17.5,31.0,41.0,0,0.0,7.020061635971061,14.73959026336669,45.93045864105223,141.21084499359125,39.59441109749054,90.04569461467489,0.33352867710737333,0.26384732163514474,4.140125057866833,1.2602883649334553,20.19330030574353,43.215233477419,0.1852966283300397,0.14235507593003333,0.5830527497194163,0.18046637247296565,0.8806397306397307,0.14212084917677048,0.9735129068462401,0.0742113478220032,0.06605316687097675,0.5428587578496072,1.1164264827606674,0.4168756026640027,24,1.1396539923402227,0.43527701385759515
EB,24,0,1e-06,31.416666666666668,10.816332814570544,41.0,14,41,17.6,20.0,41.0,41.0,0,0.0,1.8200920045375812,2.0114853906631467,9.493399000167813,101.86566892961652,419.7862163530247,632.3027050730425,9.719632479302465,11.939720222452817,7.712088550231655,4.456141723960661,324.6476130750932,457.21180972731366,7.639619509944025,10.750428254866161,0.7040404040404041,0.19653733951566435,0.8804292929292931,0.11608466654189185,0.9252525252525253,0.11297676131436026,-0.056863078939535606,0.8196956984828616,1.44825227261172,1.3261048185585003,23,1.4840156907323625,1.3432484241977967
KN,9,1,1e-06,17.77777777777778,1.930905244109196,17.0,15,20,15.0,17.0,20.0,20.0,0,0.0,3.716097986698142,4.292108376026151,4.976423764228819,4.993951809406279,3.945196349871781,1.7071796736699296,0.8168280296287531,0.3904671639558084,2.9119018553388285,0.44328258540032844,2.611788596722709,1.3614942007280328,0.5350170984438954,0.2808157760699469,0.7981481481481482,0.18961371460992896,0.9777777777777779,0.06285393610547088,1.0,0.0,0.06611076100912555,0.36035041369971865,0.7677291331152303,0.37647517886288473,7,0.7871366156104688,0.3983824546598722
M-dwarf,39,0,1e-06,31.53846153846154,10.807988863528761,41.0,17,41,18.0,19.5,41.0,41.0,0,0.0,1.6074219584465024,1.7811758208274833,5.483200049400314,26.762738935305517,11.640251538414132,24.77281744515555,3.124830383171928,10.766181290821256,6.792543715959967,16.656163499673305,10.025903525751861,16.840367602303473,2.5063277380950817,6.796178943597932,0.8146076146076145,0.19656568666529695,0.9434343434343433,0.11138343402843329,0.9734265734265733,0.08406358443181795,0.14518307206576941,0.7364020938541683,1.1588758740336793,2.3695220365970497,39,1.1588758740336793,2.3695220365970497
RRL,5,0,1e-06,36.0,10.0,41.0,16,41,26.0,41.0,41.0,41.0,0,0.0,535.3382720947266,556.6155657958983,914.4641113281248,1005.0124822998041,2521.221570889408,1717.3684295318194,2.2615521023895684,0.9815293533008292,10.429636366417098,2.2606678007541925,1550.2754447768893,1217.49199622331,1.3934966342004846,0.7305333030165597,0.52,0.1406478516786452,0.7418181818181819,0.1186145922203643,0.8363636363636365,0.14545454545454545,-0.003392094000106316,0.6272856754881815,1.9617341846637018,0.9174121633676185,5,1.9617341846637018,0.9174121633676185
SLSN-I,15,0,1e-06,25.866666666666667,10.800411514793726,20.0,16,41,17.0,17.0,41.0,41.0,0,0.0,2.2287672877311695,3.0587208080291663,8.214868068695061,33.77231058041241,5.965124542559659,6.819605513674205,0.6899546069035671,0.6830389084972076,3.163207417349427,1.0988295459592294,5.225143322815694,7.046799780366662,0.5522820032947545,0.6653824222358964,0.8482828282828281,0.1368340557775312,0.9733333333333333,0.0679869268479038,1.0,0.0,-0.01003594427955997,0.262194676847793,0.6391742018656207,0.3513098222053291,14,0.6737844673601006,0.3380327612370306
SNII,95,0,1e-06,24.71578947368421,10.086638538596999,20.0,15,41,16.4,18.0,41.0,41.0,0,0.0,1.5328806459903703,2.036001546382903,5.251051068305969,5.5160695217785,7.082496308455503,11.036996146646707,1.6075847795863212,4.092933532467213,3.2683427268630165,1.3190877760382336,5.204296316484465,6.219746202805527,1.0617376111461123,1.7377117960958253,0.7911642743221692,0.19609912538689742,0.9698245614035087,0.06963510990257514,0.9932695374800637,0.03321329392732902,-0.03257897370808957,0.40783266190876183,0.7247364924518399,0.5076591221573313,90,0.7413813494614713,0.5155590045819277
SNIa,182,0,1e-06,27.373626373626372,11.112460436793663,20.0,15,41,16.1,18.0,41.0,41.0,0,0.0,0.4853506937623005,1.8426168501377103,4.932074034214013,4.795962069511079,11.748669669641151,36.816645046370766,2.8000663940981023,10.028436362544747,3.5030906795742003,3.0544990043237963,7.266945318244082,17.175745937877437,1.6570723821910753,4.126885678591626,0.8110972360972362,0.19143468874059655,0.9546536796536796,0.09798060360597341,0.9827672327672327,0.06297831767154492,-0.1256979024249717,0.5852895733325622,0.7588520813885027,0.731250504660605,174,0.7379499323811538,0.6781225239310157
SNIa-91bg,13,0,1e-06,20.46153846153846,6.295485374033885,19.0,16,41,16.2,17.0,20.0,23.400000000000002,0,0.0,1.6582484900951384,4.768612265586853,5.564496040344238,5.483272992189108,4.630461194675585,3.6150698371623493,0.8676142674769777,0.7329426368241072,3.1888863160477663,0.9597019609461662,4.656829494410163,4.670937699701346,0.8776028831039953,0.9314439516170371,0.8540792540792542,0.17342250039080054,0.9846153846153847,0.05329387100211929,1.0,0.0,-0.07994118377292751,0.35628935630320147,0.5147428784484122,0.2698186581977694,11,0.5845990912627476,0.23304157684625493
SNIax,13,0,1e-06,30.923076923076923,10.936611333297956,41.0,16,41,19.0,20.0,41.0,41.0,0,0.0,1.8655649840831754,1.9375705385208113,2.652043044567108,4.293621710172061,4.271118735541365,4.921808468556418,1.4317460883221718,2.373724015656623,2.5872799627124556,0.6461778832195797,2.2809872203183237,1.8604394178156185,0.704283083774591,0.8890811444757227,0.8149184149184148,0.1144405825867764,0.9790209790209791,0.05233087254229288,0.9930069930069929,0.024224486819145144,0.022482934316786326,0.3721326583658636,0.691737316013746,0.22926599734794884,13,0.691737316013746,0.22926599734794884
